t,x,y
5.54814451,-0.0005800336479097916,7.177237033262037e-05
5.558274538,-0.0005800339265816957,7.177244509401406e-05
5.568233442,-0.0005800337290282264,7.177230055706502e-05
5.578273736,-0.0005800335867101533,7.177221786838013e-05
5.588232644,-0.0005800336170433476,7.17722093979791e-05
5.598206434,-0.0005800336864818676,7.177220487878332e-05
5.60821084,-0.0005800337505053625,7.177220193754536e-05
5.618278551,-0.0005800338300924052,7.177220689555462e-05
5.628322976,-0.0005800340877253627,7.177228943046647e-05
5.638377461,-0.0005800340259331993,7.177222169251385e-05
5.648421189,-0.0005800339909098643,7.177216184920429e-05
5.658479276,-0.0005800343350531806,7.177230034967211e-05
5.670975577,-0.000580034586131613,7.177238237483525e-05
5.681222359,-0.0005800347091823206,7.177239859281859e-05
5.691228806,-0.0005800344257591459,7.177224893890931e-05
5.701213462,-0.0005800346093380628,7.177232173158853e-05
5.71124312,-0.000580034646001708,7.177231852503914e-05
5.721215231,-0.0005800346858863192,7.177232366042713e-05
5.731186176,-0.0005800342453277339,7.177210502878222e-05
5.741236847,-0.000580034056048436,7.177202694271054e-05
5.751227896,-0.0005800334282622839,7.177174313787653e-05
5.761268908,-0.0005800331842336151,7.177165818932703e-05
5.77175001,-0.0005800336470972211,7.177185940899643e-05
5.781717875,-0.0005800340550208734,7.17720138068425e-05
5.791867293,-0.0005800345185185546,7.177218050657313e-05
5.802191198,-0.0005800348197454409,7.177227685580163e-05
5.812516287,-0.0005800353353954948,7.177245713758094e-05
5.822603922,-0.0005800353384825532,7.177240634123746e-05
5.832596187,-0.0005800355538368449,7.177248406311067e-05
5.842728578,-0.0005800357337319845,7.177256426130164e-05
5.852770774,-0.0005800355855711623,7.177249301345808e-05
5.862858905,-0.0005800356922658961,7.177256115143337e-05
5.872916863,-0.0005800355484273474,7.177249227376982e-05
5.883003839,-0.0005800358285081636,7.177263250098269e-05
5.893391659,-0.0005800361629433506,7.177278524003348e-05
5.903536711,-0.0005800363706899726,7.177287201801455e-05
5.913736144,-0.0005800361811560484,7.177279009380321e-05
5.923746743,-0.0005800358115861711,7.177263317302823e-05
5.934075176,-0.0005800357142481645,7.177261459638518e-05
5.944203184,-0.0005800359493323822,7.177274643105662e-05
5.954191795,-0.0005800366095646842,7.177304864084506e-05
5.964227226,-0.0005800366862918809,7.177305889263818e-05
5.974316004,-0.0005800367002826946,7.17730565374026e-05
